FCLTY_NM,KEYWORDS,ST_ADDRESS,LOCALITY,MAIL_ADD,POSTAL_CD,WEBSITE,IMAGE_URL,LATITUDE,LONGITUDE,CONT_PHONE,CONT_FAX,ADDRESS,DT_UPDATE,GEOCD_IND,SRCDATA_ID,CUST_ORG,BUS_CAT_CL,BUS_CAT_DS,OCCPNT_TYP,SHAPE,SEQ_ID,X,Y
Fernie Salvation Army Family Services,Food; Food Bank,741 - 2nd Ave,Fernie,P.O. Box 2259,V0B 1M0,,,49.505066,-115.059608,250-423-4668,,"741 - 2nd Ave, Fernie, BC",20180601223150,,161,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,161,1789732.1119999993,559897.3820000002
Community Connections Food Bank,Food; Food Bank,314 Second St East,Revelstoke,PO Box 2880,V0E 2S0,http://community-connections.ca/,,50.9966986,-118.1936441,250-837-2920,250-837-2909,"314 Second St East, Revelstoke, BC",20180601223150,,106,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,106,1546341.0620000008,694869.5909999991
Boundary Community Food Bank - Grand Forks,Food; Food Bank,215 Central Avenue,Grand Forks,Box 1052,V0H 1H0,http://www.boundarycommunityfoodbank.ca/,,49.0337413,-118.4393028,250-442-2800,,"215 Central Avenue, Grand Forks, BC",20180601223150,,105,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,105,1552488.9199999995,475913.06799999904
Central Okanagan Food Bank,Food; Food Bank,,Kelowna,1265 Ellis St,V1Y 1Z7,https://cofoodbank.com/,,49.892429,-119.493401,250-763-7161,250-763-9116,"Kelowna, BC",20180601223150,,120,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,120,1466937.0869999982,563293.4560000086
Harvest Food Bank,Food; Food Bank,7120 Market St,Port Hardy,PO Box 849,V0N 2P0,https://harvestfoodbank.org/,,50.721188,-127.492462,250-902-0332,250-902-0613,"7120 Market St, Port Hardy, BC",20180601223150,,127,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,127,894696.5690000007,635148.4589999998
Columbia Valley Food Bank,Food; Food Bank,201 7th Avenue (Basement),Invermere,P.O. Box 2141,V0A 1K0,http://familydynamix.ca/our-services/food/columbia-valley-food-bank/,,50.510113,-116.030312,250-342-0850,,"201 7th Avenue (Basement), Invermere, BC",20180601223150,,131,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,131,1704456.9340000006,660229.1570000015
Ladysmith Food Bank,Food; Food Bank,630 2nd Avenue,Ladysmith,P.O. Box 1653,V9G 1B2,http://www.lrca.ca/programs/food-bank/,,48.9933677,-123.8204938,250-245-3079,250-245-3798,"630 2nd Avenue, Ladysmith, BC",20180601223150,,156,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,156,1159680.8259999992,444355.5919999983
Comox Valley Food Bank,Food; Food Bank,1491 Mcphee Avenue,Courtenay,PO Box 3028,V9N 5N3,http://comoxvalleyfoodbank.com/,,49.681995,-124.999451,250-338-0615,250-871-7378,"1491 Mcphee Avenue, Courtenay, BC",20180601223150,,155,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,155,1072232.5289999992,518930.7600000007
Loaves & Fishes Community Food Bank,Food; Food Bank,,Nanaimo,1009 Farquhar St,V9R 2G2,https://www.nanaimoloavesandfishes.org/,,49.156043999999994,-123.93038899999999,250-754-8347,,"Nanaimo, BC",20180601223150,,122,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,122,1151103.5380000002,462176.296000001
Oliver Food Bank,Food; Food Bank,6047 Station St,Oliver,P.O. Box 405,V0H 1T0,,,49.1816701,-119.5482871,250-498-4555,,"6047 Station St, Oliver, BC",20180601223150,,129,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,129,1470199.5350000004,484255.3210000023
Quesnel Salvation Army Food Bank,Food; Food Bank,374 Mclean St,Quesnel,374 Mclean St,V2J 2N9,,,52.9788674,-122.4952298,604-992-7079,250-991-5189,"374 Mclean St, Quesnel, BC",20180601223150,,117,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,117,1234750.251,891480.4240000015
Sparwood Food Bank,Food; Food Bank,125d Centennial Square,Sparwood,PO Box 682,V0B 2G0,,,49.732105,-114.886963,250-425-2355,,"125d Centennial Square, Sparwood, BC",20180601223150,,134,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,134,1798146.794,586768.0150000015
Kimberley Helping Hands Food Bank,Food; Food Bank,,Kimberley,340 Leadenhall St,V1A 2X6,,,49.682865,-115.984146,250-427-5522,,"Kimberley, BC",20180601223150,,113,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,113,1720673.908999999,569583.8640000019
South Delta Food Bank,Food; Food Bank,,Delta,5545 Ladner Trunk Rd,V4K 1X1,,,49.0905708,-123.0705025,604-946-1967,604-946-4944,"Delta, BC",20180601223150,,150,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,150,1214154.686,457125.75799999945
Cherryville Community Food Bank Society,Food; Food Bank,158 Northfork Road,Cherryville,158 Northfork Road,V0E 2G3,https://www.facebook.com/CherryvilleCommunityFoodBankSociety/,,50.2434236,-118.6086787,250-547-6646,250-547-8944,"158 Northfork Road, Cherryville, BC",20180601223150,,104,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,104,1526141.7769999998,608356.1620000042
Osoyoos Food Bank,Food; Food Bank,,Osoyoos,6210 97th Street,V0H 1V4,,,49.0253816,-119.4749842,250-495-6581,,"Osoyoos, BC",20180601223150,,162,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,162,1477124.7409999997,467457.37000000756
Food Bank on the Edge,Food; Food Bank,#160 Sea Plane Base Rd,Ucluelet,PO Box 1146,V0R 3A0,https://www.facebook.com/Food-Bank-on-the-Edge-645224955537342/,,48.948353,-125.559563,250-726-6909,250-726-7543,"#160 Sea Plane Base Rd, Ucluelet, BC",20180601223150,,182,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,182,1032304.4700000006,436998.38000000175
Okanagan Boys & Girls Club,Food; Food Bank,3459 Pleasant Valley Rd,Armstrong,P.O. Box 332,V0E 1B0,,,50.447891,-119.195297,250-546-3465,250-546-3465,"3459 Pleasant Valley Rd, Armstrong, BC",20180601223150,,197,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,197,1482334.6499999994,626816.6480000056
Feed Enderby and District Food Bank,Food; Food Bank,1110 Belvedere Street,Enderby,PO Box 1001,V0E 1V0,http://www.enderbyfoodbank.ca/,,50.552676999999996,-119.138618,250-938-3114,,"1110 Belvedere Street, Enderby, BC",20180601223150,,168,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,168,1485211.0409999995,638812.4530000035
Sooke Food Bank Society,Food; Food Bank,2037 Shields Road,Sooke,PO Box 983,V0S 1N0,,,48.3772237,-123.7249826,250-642-7666,,"2037 Shields Road, Sooke, BC",20180601223150,,172,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,172,1168873.7909999986,376212.5540000014
Sources Langley Food Bank,Food; Food Bank,,Langley,5673 200 Street,V3A 1M7,https://sourcesfoundation.ca/sources-langley-food-bank/,,49.105846,-122.669189,604-531-8168,,"Langley, BC",20180601223150,,151,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,151,1243391.7019999991,460117.83799999394
Quadra Island Food Bank,Food; Food Bank,,Quathiaski Cove,P.O. Box 243,V0P 1H0,,,50.0617928,-125.2088915,250-285-3903,,"Quathiaski Cove, BC",20180601223150,,167,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,167,1056641.1300000015,560973.9159999983
St. Joseph's Food Bank,Food; Food Bank,,Mission,32550 7th Ave,V2V 2B9,http://missionfoodbank.com/about/,,49.1399518,-122.3233595,604-425-0392,,"Mission, BC",20180601223150,,190,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,190,1268444.0950000011,465152.16400000174
Whistler Food Bank,Food; Food Bank,1519 Spring Creek Drive,Whistler,PO Box 900,V0N 1B0,http://mywcss.org/programs/food-bank/,,50.0866386,-123.0194588,604-932-0113,604-932-0599,"1519 Spring Creek Drive, Whistler, BC",20180601223150,,123,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,123,1213223.3809999987,567910.6079999963
Summerland Community Food Bank,Food; Food Bank,13204 Henry Avenue,Summerland,PO Box 20051,V0H 1Z0,http://www.summerlandfoodbank.org,,49.6020521,-119.6824965,778-516-0015,,"13204 Henry Avenue, Summerland, BC",20180601223150,,124,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,124,1456280.991,529905.6500000004
Lake Cowichan Food Bank Society,Food; Food Bank,205 South Shore Road,Lake Cowichan,PO Box 1087,V0R 2G0,,,48.8207831,-124.0584187,250-746-6239,250-749-6239,"205 South Shore Road, Lake Cowichan, BC",20180601223150,,143,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,143,1142779.5559999996,424689.7739999974
Cms Food Bank,Food; Food Bank,2740 Lashburn Rd,Mill Bay,PO Box 428,V0R 2P1,http://cmsfoodbank.ca,,48.652851,-123.557678,250-743-5242,250-743-5268,"2740 Lashburn Rd, Mill Bay, BC",20180601223150,,175,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,175,1180232.885,407197.13800000213
New Life Assembly Family Assistance Program Food Bank,Food; Food Bank,,Tumbler Ridge,275 Murray Drive,V0C 2W0,,,55.13419,-120.991844,250-242-7404,,"Tumbler Ridge, BC",20180601223150,,108,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,108,1318301.7670000014,1137472.4369999906
Share Family & Community Services,Food; Food Bank,,Port Moody,2615 Clark Street,V3H 1Z4,http://sharesociety.ca/food-bank/,,49.277739999999994,-122.85253900000001,604-540-9161,,"Port Moody, BC",20180601223150,,177,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,177,1229154.084000001,478583.3309999993
Salt Spring Island Community Services Food Bank,Food; Food Bank,,Salt Spring Island,268 Fulford Ganges Rd,V8K 2K6,http://saltspringcommunityservices.ca/food-security/food-bank/,,48.847462,-123.499825,250-537-9971,250-537-9974,"Salt Spring Island, BC",20180601223150,,186,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,186,1183737.518,428938.9300000025
Slocan Valley Food Cupboard,Food; Food Bank,1001 Harold St.,Slocan,PO Box 10,V0G 2C0,http://wegcss.org/programs/slocan-valley-food-cupboard/,,49.763321,-117.4702542,250-355-2484,250-355-2389,"1001 Harold St., Slocan, BC",20180601223150,,130,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,130,1613231.6950000003,564451.7259999989
Lytton Community Food Bank,Food; Food Bank,,Lytton,PO Box 87,V0K 1Z0,,,50.2313783,-121.5823821,250-455-2316,250-455-6669,"Lytton, BC",20180601223150,,109,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,109,1314913.7180000008,589352.895999996
Mayne Island Food Bank,Food; Food Bank,,Mayne Island,360 Georgia Point Road,V0N 2J1,,,48.8477855,-123.2833136,250-539-2859,,"Mayne Island, BC",20180601223150,,173,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,173,1199640.0329999998,429561.09700000007
Powell River Action Centre Food Bank,Food; Food Bank,6812d Alberni Street,Powell River,6812d Alberni St,V8A 2B4,,,49.844173,-124.528366,604-485-9166,,"6812d Alberni Street, Powell River, BC",20180601223150,,111,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",healthCareAndSocialAssistance,Health care and social assistance,Health care and social assistance,,111,1105862.557,537553.7160000019
